Timestamp;trajectory_id;j1_v;j2_v;j3_v;j4_v;j5_v;j6_v;j1_a;j2_a;j3_a;j4_a;j5_a;j6_a;j1_t;j2_t;j3_t;j4_t;j5_t;j6_t
68,2618;1;0,17442;-0,09686;0,14879;0,00071;-0,04556;0,00463;1,66138;-0,05416;-2,45189;-0,00058;-0,62965;0,00005;21,81302;15,18757;41,3336;-6,13309;-2,33079;-0,98781
68,2698;1;0,17442;-0,09686;0,14879;0,00071;-0,04556;0,00463;1,66138;-0,05416;-2,45189;-0,00058;-0,62965;0,00005;21,81302;15,18757;41,3336;-6,13309;-2,33079;-0,98781
68,2841;1;0,1759;-0,09984;0,15057;0,00178;-0,04521;0;1,66482;-0,05619;-2,44887;-0,00058;-0,63047;0,00005;23,24004;23,24004;42,54294;-7,68796;-2,74145;-0,75473
68,2921;1;0,1759;-0,09984;0,15057;0,00178;-0,04521;0;1,66482;-0,05619;-2,44887;-0,00058;-0,63047;0,00005;21,81302;17,53196;41,85189;-7,34244;-2,79695;-0,81023
68,3069;1;0,17828;-0,09716;0,15235;0,00392;-0,04556;0,00071;1,66832;-0,0582;-2,44575;-0,00058;-0,63129;0,00005;21,81302;17,53196;41,85189;-7,34244;-2,79695;-0,81023
68,3264;1;0,17828;-0,09716;0,15235;0,00392;-0,04556;0,00071;1,67187;-0,0602;-2,44264;-0,00058;-0,63216;0,00005;20,89565;13,76055;41,85189;-7,5152;-2,56387;-1,04331
68,3402;1;0,18006;-0,09746;0,15271;0,00534;-0,04556;0;1,67541;-0,06223;-2,43949;-0,00058;-0,63297;0,00005;18,04161;18,04161;42,54294;-7,34244;-2,45288;-1,27639
68,3482;1;0,18065;-0,09984;0,15485;0,0057;-0,04521;0,00071;1,67541;-0,06223;-2,43949;-0,00058;-0,63297;0,00005;18,04161;18,04161;42,54294;-7,34244;-2,45288;-1,27639
68,3562;1;0,18065;-0,09984;0,15485;0,0057;-0,04521;0,00071;1,679;-0,06429;-2,43634;-0,00058;-0,63383;0,00005;18,55126;18,95898;44,27057;-7,68796;-2,79695;-0,92122
68,3656;1;0,18422;-0,10192;0,15342;0,0057;-0,04592;0;1,679;-0,06429;-2,43634;-0,00058;-0,63383;0,00005;18,55126;18,95898;44,27057;-7,68796;-2,79695;-0,92122
68,3745;1;0,18422;-0,10192;0,15342;0,0057;-0,04592;0;1,68267;-0,06638;-2,43312;-0,00057;-0,63474;0,00004;15,69722;17,53196;42,88846;-6,65138;-1,92013;-0,98781
68,3825;1;0,18541;-0,10221;0,15663;0,00534;-0,04556;0,00107;1,68267;-0,06638;-2,43312;-0,00057;-0,63474;0,00004;15,69722;17,53196;42,88846;-6,65138;-1,92013;-0,98781
68,3915;1;0,18541;-0,10221;0,15663;0,00534;-0,04556;0,00107;1,68267;-0,06638;-2,43312;-0,00057;-0,63474;0,00004;23,74969;21,81302;43,06123;-4,92375;-2,56387;-1,22089
68,3996;1;0,186;-0,10459;0,15841;0,00214;-0,04556;0,00071;1,68633;-0,06849;-2,42993;-0,00058;-0,63564;0,00004;23,74969;21,81302;43,06123;-4,92375;-2,56387;-1,22089
68,4075;1;0,186;-0,10459;0,15841;0,00214;-0,04556;0,00071;1,68633;-0,06849;-2,42993;-0,00058;-0,63564;0,00004;23,74969;21,81302;43,06123;-4,92375;-2,56387;-1,22089
68,4155;1;0,186;-0,10459;0,15841;0,00214;-0,04556;0,00071;1,69003;-0,07061;-2,4267;-0,00058;-0,63647;0,00004;20,386;18,55126;43,75228;-4,92375;-2,2198;-1,67595
68,4235;1;0,18927;-0,10578;0,1609;0,00214;-0,04556;0,00534;1,69003;-0,07061;-2,4267;-0,00058;-0,63647;0,00004;20,386;18,55126;43,75228;-4,92375;-2,2198;-1,67595
68,4315;1;0,18927;-0,10578;0,1609;0,00214;-0,04556;0,00534;1,69003;-0,07061;-2,4267;-0,00058;-0,63647;0,00004;20,386;18,55126;43,75228;-4,92375;-2,2198;-1,67595
68,4395;1;0,19016;-0,10459;0,16339;0,00107;-0,05126;0,0057;1,69374;-0,07274;-2,42338;-0,00058;-0,63734;0,00004;17,53196;19,97828;42,37017;-4,75099;-2,38628;-1,45397
68,4475;1;0,19016;-0,10459;0,16339;0,00107;-0,05126;0,0057;1,69374;-0,07274;-2,42338;-0,00058;-0,63734;0,00004;17,53196;19,97828;42,37017;-4,75099;-2,38628;-1,45397
68,4586;1;0,19016;-0,10459;0,16339;0,00107;-0,05126;0,0057;1,69749;-0,0749;-2,42009;-0,00058;-0,63827;0,00004;20,386;17,12424;42,37017;-5,6148;-1,92013;-1,50946
68,4675;1;0,19016;-0,10489;0,16517;0,00427;-0,05126;0,0057;1,69749;-0,0749;-2,42009;-0,00058;-0,63827;0,00004;20,386;17,12424;42,37017;-5,6148;-1,92013;-1,50946
68,4756;1;0,19016;-0,10489;0,16517;0,00427;-0,05126;0,0057;1,70129;-0,07712;-2,41673;-0,00057;-0,63925;0,00004;17,12424;23,74969;41,50636;-5,78757;-2,27529;-1,0988
